"LGA_CODE_2017","LGA_NAME_2017","PHN_CODE_2017","PHN_NAME_2017","RATIO","PERCENTAGE"
16260,"Parramatta (C)","PHN103","Western Sydney",0.9037076,90.3707636
16350,"Penrith (C)","PHN104","Nepean Blue Mountains",1,100
16380,"Port Macquarie-Hastings (A)","PHN109","North Coast",1,100
16400,"Port Stephens (A)","PHN108","Hunter New England and Central Coast",1,100
16490,"Queanbeyan-Palerang Regional (A)","PHN106","South Eastern NSW",1,100
16550,"Randwick (C)","PHN101","Central and Eastern Sydney",1,100
16610,"Richmond Valley (A)","PHN109","North Coast",1,100
16700,"Ryde (C)","PHN102","Northern Sydney",1,100
16900,"Shellharbour (C)","PHN106","South Eastern NSW",1,100
16950,"Shoalhaven (C)","PHN106","South Eastern NSW",1,100
17000,"Singleton (A)","PHN108","Hunter New England and Central Coast",1,100
17040,"Snowy Monaro Regional (A)","PHN106","South Eastern NSW",1,100
17080,"Snowy Valleys (A)","PHN110","Murrumbidgee",1,100
17100,"Strathfield (A)","PHN101","Central and Eastern Sydney",1,100
17150,"Sutherland Shire (A)","PHN101","Central and Eastern Sydney",1,100
17200,"Sydney (C)","PHN101","Central and Eastern Sydney",1,100
17310,"Tamworth Regional (A)","PHN108","Hunter New England and Central Coast",1,100
17350,"Temora (A)","PHN110","Murrumbidgee",1,100
17400,"Tenterfield (A)","PHN108","Hunter New England and Central Coast",0.9349348,93.4934824
17400,"Tenterfield (A)","PHN109","North Coast",0.0650652,6.5065176
17420,"The Hills Shire (A)","PHN103","Western Sydney",1,100
17550,"Tweed (A)","PHN109","North Coast",1,100
17620,"Upper Hunter Shire (A)","PHN108","Hunter New England and Central Coast",1,100
17640,"Upper Lachlan Shire (A)","PHN106","South Eastern NSW",1,100
17650,"Uralla (A)","PHN108","Hunter New England and Central Coast",1,100
17750,"Wagga Wagga (C)","PHN110","Murrumbidgee",1,100
17850,"Walcha (A)","PHN108","Hunter New England and Central Coast",1,100
17900,"Walgett (A)","PHN107","Western NSW",1,100
17950,"Warren (A)","PHN107","Western NSW",1,100
18020,"Warrumbungle Shire (A)","PHN107","Western NSW",1,100
18050,"Waverley (A)","PHN101","Central and Eastern Sydney",1,100
18100,"Weddin (A)","PHN107","Western NSW",1,100
18200,"Wentworth (A)","PHN107","Western NSW",1,100
18230,"Western Plains Regional (A)","PHN107","Western NSW",1,100
18250,"Willoughby (C)","PHN102","Northern Sydney",1,100
18350,"Wingecarribee (A)","PHN105","South Western Sydney",1,100
18400,"Wollondilly (A)","PHN105","South Western Sydney",1,100
18450,"Wollongong (C)","PHN106","South Eastern NSW",1,100
18500,"Woollahra (A)","PHN101","Central and Eastern Sydney",1,100
18710,"Yass Valley (A)","PHN106","South Eastern NSW",1,100
19399,"Unincorporated NSW","PHN101","Central and Eastern Sydney",0.3684723,36.8472265
19399,"Unincorporated NSW","PHN107","Western NSW",0.6315277,63.1527735
20110,"Alpine (S)","PHN205","Murray",1,100
20260,"Ararat (RC)","PHN206","Western Victoria",1,100
20570,"Ballarat (C)","PHN206","Western Victoria",1,100
20660,"Banyule (C)","PHN202","Eastern Melbourne",1,100
20740,"Bass Coast (S)","PHN204","Gippsland",1,100
20830,"Baw Baw (S)","PHN204","Gippsland",1,100
20910,"Bayside (C)","PHN203","South Eastern Melbourne",1,100
21010,"Benalla (RC)","PHN205","Murray",1,100
21110,"Boroondara (C)","PHN202","Eastern Melbourne",1,100
21180,"Brimbank (C)","PHN201","North Western Melbourne",1,100
21270,"Buloke (S)","PHN205","Murray",1,100
21370,"Campaspe (S)","PHN205","Murray",1,100
21450,"Cardinia (S)","PHN202","Eastern Melbourne",0.0019651,0.1965115
21450,"Cardinia (S)","PHN203","South Eastern Melbourne",0.9980349,99.8034885
21610,"Casey (C)","PHN203","South Eastern Melbourne",1,100
21670,"Central Goldfields (S)","PHN205","Murray",0.0013098,0.1309809
21670,"Central Goldfields (S)","PHN206","Western Victoria",0.9986902,99.8690191
21750,"Colac-Otway (S)","PHN206","Western Victoria",1,100
21830,"Corangamite (S)","PHN206","Western Victoria",1,100
21890,"Darebin (C)","PHN201","North Western Melbourne",1,100
22110,"East Gippsland (S)","PHN204","Gippsland",1,100
22170,"Frankston (C)","PHN203","South Eastern Melbourne",1,100
22250,"Gannawarra (S)","PHN205","Murray",1,100
22310,"Glen Eira (C)","PHN203","South Eastern Melbourne",1,100
22410,"Glenelg (S)","PHN206","Western Victoria",1,100
22490,"Golden Plains (S)","PHN206","Western Victoria",1,100
22620,"Greater Bendigo (C)","PHN205","Murray",1,100
22670,"Greater Dandenong (C)","PHN203","South Eastern Melbourne",1,100
22750,"Greater Geelong (C)","PHN206","Western Victoria",1,100
22830,"Greater Shepparton (C)","PHN205","Murray",1,100
22910,"Hepburn (S)","PHN206","Western Victoria",1,100
22980,"Hindmarsh (S)","PHN206","Western Victoria",1,100
23110,"Hobsons Bay (C)","PHN201","North Western Melbourne",1,100
23190,"Horsham (RC)","PHN206","Western Victoria",1,100
23270,"Hume (C)","PHN201","North Western Melbourne",1,100
23350,"Indigo (S)","PHN205","Murray",1,100
23430,"Kingston (C) (Vic.)","PHN203","South Eastern Melbourne",1,100
23670,"Knox (C)","PHN202","Eastern Melbourne",1,100
23810,"Latrobe (C) (Vic.)","PHN204","Gippsland",1,100
23940,"Loddon (S)","PHN205","Murray",0.9725883,97.2588289
23940,"Loddon (S)","PHN206","Western Victoria",0.0274117,2.7411711
24130,"Macedon Ranges (S)","PHN201","North Western Melbourne",0.6418383,64.1838256
24130,"Macedon Ranges (S)","PHN205","Murray",0.3581617,35.8161744
24210,"Manningham (C)","PHN202","Eastern Melbourne",1,100
24250,"Mansfield (S)","PHN205","Murray",1,100
24330,"Maribyrnong (C)","PHN201","North Western Melbourne",1,100
24410,"Maroondah (C)","PHN202","Eastern Melbourne",1,100
24600,"Melbourne (C)","PHN201","North Western Melbourne",0.9999779,99.997793
24650,"Melton (C)","PHN201","North Western Melbourne",1,100
24780,"Mildura (RC)","PHN205","Murray",1,100
24850,"Mitchell (S)","PHN202","Eastern Melbourne",0.3964354,39.643539
24850,"Mitchell (S)","PHN205","Murray",0.6035646,60.356461
24900,"Moira (S)","PHN205","Murray",1,100
24970,"Monash (C)","PHN202","Eastern Melbourne",0.9587094,95.8709387
24970,"Monash (C)","PHN203","South Eastern Melbourne",0.0412906,4.1290613
25060,"Moonee Valley (C)","PHN201","North Western Melbourne",1,100
25150,"Moorabool (S)","PHN201","North Western Melbourne",0.6403145,64.0314452
25150,"Moorabool (S)","PHN206","Western Victoria",0.3596855,35.9685548
25250,"Moreland (C)","PHN201","North Western Melbourne",1,100
25340,"Mornington Peninsula (S)","PHN203","South Eastern Melbourne",1,100
25430,"Mount Alexander (S)","PHN205","Murray",0.999787,99.9786995
25430,"Mount Alexander (S)","PHN206","Western Victoria",0.000213,0.0213005
25490,"Moyne (S)","PHN206","Western Victoria",1,100
25620,"Murrindindi (S)","PHN202","Eastern Melbourne",0.2791596,27.9159638
25620,"Murrindindi (S)","PHN205","Murray",0.7208404,72.0840362
25710,"Nillumbik (S)","PHN202","Eastern Melbourne",1,100
25810,"Northern Grampians (S)","PHN206","Western Victoria",1,100
25900,"Port Phillip (C)","PHN203","South Eastern Melbourne",1,100
25990,"Pyrenees (S)","PHN206","Western Victoria",1,100
26080,"Queenscliffe (B)","PHN206","Western Victoria",1,100
26170,"South Gippsland (S)","PHN204","Gippsland",1,100
26260,"Southern Grampians (S)","PHN206","Western Victoria",1,100
26350,"Stonnington (C)","PHN203","South Eastern Melbourne",1,100
26430,"Strathbogie (S)","PHN205","Murray",1,100
26490,"Surf Coast (S)","PHN206","Western Victoria",1,100
26610,"Swan Hill (RC)","PHN205","Murray",1,100
26670,"Towong (S)","PHN205","Murray",1,100
26700,"Wangaratta (RC)","PHN205","Murray",1,100
26730,"Warrnambool (C)","PHN206","Western Victoria",1,100
26810,"Wellington (S)","PHN204","Gippsland",1,100
